Q3;Q5;Q8;Q6;Q7;Q9;Q10;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q12_9;Q12_10;Q12_11;Q12_12;Q12_13
25;2;6;1;Všeobecné lékařství;2;NA;1;0;0;0;0;0;0;0;0;0;1;1;0
23;2;5;1;Psychologie;2;NA;1;1;0;1;1;1;1;0;0;0;1;2;1
48;1;6;2;NA;1;IT;1;0;0;0;0;0;0;0;0;1;1;0;0
49;2;6;2;NA;1;Socialni pece,pestounstvi.;0;0;0;0;0;0;0;0;0;0;0;1;0
27;2;6;2;NA;1;kultura;1;0;1;1;1;1;1;1;0;0;2;2;2
20;2;3;1;Mezinárodní teritoriální studia;1;gastro;2;2;1;1;1;2;1;1;1;1;1;2;2
26;2;5;1;Psychologie;2;NA;1;2;0;1;0;0;0;0;1;0;2;2;3
20;2;3;1;Zdravotnictví;1;Kino;1;2;2;1;1;2;2;3;3;1;2;2;1
23;1;3;1;audio inženýrství ;1;kino;1;0;0;0;0;0;0;1;0;0;1;1;1
27;1;3;1;IT;1;Telekomunikace;0;0;0;0;0;0;0;0;1;0;1;1;1
31;1;6;1;stavební management - doktorské studium;1;stavebnictví - rezidenční development;1;0;0;1;0;1;0;0;0;0;0;1;0
24;1;5;1;NA;2;NA;2;2;1;2;1;1;2;1;1;1;1;1;2
22;2;3;1;jazyky;2;NA;1;1;1;2;1;1;2;0;0;0;1;0;1
22;3;3;1;Multimedia v ekonomické praxi;1;Multimediální tvorba, video editing;1;0;0;1;2;2;2;3;1;1;2;2;2
25;3;6;1;Mediální studia;1;Komunikace & PR;3;2;2;3;2;2;3;0;2;2;1;2;3
25;1;5;1;Architektura a Stavitelství;1;Architekt;1;1;1;0;1;1;1;1;0;2;1;1;1
25;2;5;1;Psychologie ;1;Pokladní v kině ;1;0;0;1;0;0;0;0;0;0;2;2;1
24;1;5;1;Humanitní studia;1;IT;1;1;1;1;1;1;1;0;1;1;1;1;1
28;2;3;1;Sociální pedagogika ;1;Školství a nezisková organizace ;1;1;0;1;1;1;1;0;0;1;1;1;1
54;1;4;2;NA;2;NA;3;0;3;0;3;3;3;0;3;0;3;0;0
24;2;5;1;Multimédia;1;Reklama;2;2;2;2;3;2;1;3;3;3;1;1;2
27;2;3;2;NA;1;Arboristika;3;2;2;2;1;1;2;1;2;1;3;1;3
52;2;3;2;NA;1;Bankovnictví,  pojišťovnictví ;3;3;1;3;3;3;3;1;1;2;3;3;3
53;2;3;2;NA;1;zdravotnictví;0;0;0;0;0;0;0;0;0;0;1;1;1
27;3;5;2;NA;1;gastro a kultura;2;2;2;1;2;2;1;2;2;1;0;1;2
24;1;3;1;Multimédia;1;Vyučování IT;1;0;0;0;0;0;0;1;0;2;1;0;1
23;2;3;1;Práva;1;Uměleckém ;2;1;1;2;1;1;3;2;2;2;1;1;1
23;1;4;1;NA;1;Produkce v Komunitním objektu;1;3;2;2;1;2;2;1;3;3;3;2;2
49;2;3;2;NA;1;pedagogika;0;0;1;0;0;0;0;0;0;0;0;0;0
51;2;3;2;NA;1;Školství ;1;0;0;0;0;0;0;0;0;0;1;0;0
30;2;6;2;NA;1;Psychologie;2;0;2;1;2;1;1;0;0;0;3;3;3
33;2;6;2;NA;1;Vzdělávání;1;2;1;2;3;2;3;1;1;3;1;0;1
49;1;6;2;NA;1;administrativa;1;0;0;0;0;0;0;0;0;0;0;0;0
33;2;6;2;NA;1;neziskový sektor;1;1;1;1;1;2;3;0;2;1;2;2;2
17;2;1;1;Gymnázium ;1;Servírka;1;1;1;1;1;1;2;1;2;2;3;3;3
15;2;1;1;gymnázium;2;NA;2;0;1;2;2;1;1;1;1;1;0;1;1
25;2;6;1;Sociální práce;1;Sociální práce s drogově závislými;2;1;2;2;3;2;3;0;2;1;1;1;2
17;2;1;1;Mediální komunikace ;1;Žurnalistika a administrativa;2;1;1;3;1;2;2;3;1;1;3;3;3
32;1;6;2;NA;1;Zdravotnictví;2;1;1;0;1;1;1;1;0;0;0;1;1
37;2;6;2;NA;1;aplikovaná geologie;2;2;2;2;3;3;3;2;1;1;3;3;3
32;2;6;1;antropologie;1;customer support v technologicke firme;2;1;2;2;2;2;2;0;1;1;3;3;2
29;1;6;1;Politologie;2;NA;0;0;0;0;1;0;0;0;0;0;0;0;0
15;2;1;1;gymnázium;2;NA;1;0;1;1;1;1;1;0;0;1;1;1;1
37;2;3;2;NA;2;NA;3;3;3;1;3;3;2;0;1;2;1;1;3
31;1;3;2;NA;1;IT;1;1;0;0;1;1;1;0;0;2;1;1;2
17;2;1;1;Gymnázium ;2;NA;0;1;0;1;0;0;0;1;0;0;0;1;1
56;1;6;2;NA;1;Stavebnictví;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2;6;1;PhD v ekologii (glacial biogeochemistry);1;vědecký pracovník - ekologie (glacial biogeochemistry);2;2;2;2;2;2;2;2;1;2;1;2;1
27;2;6;2;NA;1;Sociologicky vyzkum;3;1;1;1;1;2;2;0;0;1;1;1;1
31;1;6;1;Sociální psychologie;1;Výzkum ochrany přírody;1;1;1;1;1;0;1;0;0;0;2;2;1
28;2;6;2;NA;2;NA;1;1;1;1;2;2;1;1;0;0;0;1;0
34;1;3;2;NA;1;IT;2;1;1;0;2;2;2;1;0;3;1;1;1
34;2;6;2;NA;1;Experka - Ochrana biodiverzity ;2;1;1;1;0;0;3;0;0;0;0;1;0
21;2;3;2;NA;1;HR;2;2;2;2;3;2;3;2;1;1;2;2;3
44;1;6;2;NA;1;technologie ;2;1;0;0;3;1;2;1;2;1;1;1;2
17;2;1;1;Francouzsko-české gymnázium;2;NA;1;0;0;1;1;2;3;0;0;0;1;0;0
48;2;6;2;NA;2;NA;2;0;0;0;0;0;0;0;2;1;0;0;0
30;1;5;2;NA;2;NA;1;1;1;1;0;1;1;0;0;0;0;0;0
30;2;6;2;NA;1;Fotografie;2;1;0;1;1;0;1;0;0;1;0;0;1
23;2;3;1;architektura a urbanismus;1;veřejná správa;2;1;1;1;1;1;1;2;2;2;0;0;2
31;2;6;2;NA;2;NA;2;0;0;1;0;0;0;0;0;0;0;0;0
26;1;1;1;Polygrafie ;2;NA;0;0;0;0;0;0;1;0;0;0;1;1;1
48;1;3;2;NA;1;ochrana přírody;1;0;0;1;0;0;0;0;0;0;1;1;1
17;2;1;1;Gymnázium;2;NA;1;1;1;0;1;0;1;0;0;0;0;1;0
30;2;3;2;NA;1;IT;2;1;1;1;1;2;1;2;1;2;0;0;1
27;1;5;1;kyberbezpečnost;1;kyberbezpečnost;3;2;2;2;1;0;0;1;1;0;1;3;3
47;1;3;2;NA;2;NA;0;0;0;1;1;1;1;1;0;0;0;1;0
40;2;6;2;NA;1;Sociologie, obcansky sektor;2;0;0;0;0;0;0;0;0;0;0;0;0
34;2;5;2;NA;1;Zemedelstvi;3;1;1;3;2;2;3;3;3;3;2;2;2
18;5;1;1;Gymnazium;1;poloviční úvazek jako korektor ;1;1;1;1;2;3;3;1;0;2;1;0;3
38;2;6;2;NA;2;NA;3;3;2;1;2;2;2;2;1;1;1;1;2
23;3;3;1;sociální antropologie;2;NA;1;0;0;0;0;1;1;0;0;0;2;1;1
25;1;3;1;Výtvarné umění ;2;NA;1;1;1;1;0;0;1;0;1;1;0;2;2
24;3;5;1;Genderová studia;2;NA;3;3;2;2;2;3;3;1;2;2;3;3;3
43;2;6;2;NA;1;Architektura;1;0;0;0;1;1;0;0;0;0;1;1;0
47;1;3;2;NA;1;Ochrana ŹP a energetika;0;0;1;1;0;1;1;0;0;0;1;1;1
17;2;1;1;Gymnázium ;2;NA;2;2;2;3;2;2;3;2;2;2;2;3;3
29;2;6;1;NA;1;NA;1;1;1;1;3;3;3;3;0;1;0;0;0
28;2;6;2;NA;1;Gastro;1;0;1;2;1;2;2;0;2;1;2;2;2
25;1;5;1;Psychologie ;2;NA;1;1;1;1;1;1;2;0;0;0;1;1;1
32;1;6;1;Obecná antropologie;1;Urbanismus;1;0;0;1;0;0;0;0;0;1;1;1;1
29;2;6;2;NA;1;archivnictví;2;1;1;1;0;1;0;0;0;0;1;1;2
31;2;6;2;NA;1;Globální vzdělávání (nezisková nevládní organizace);0;0;0;0;0;0;0;0;0;0;0;0;0
27;2;3;2;NA;1;pedogogika;2;2;2;2;2;2;2;0;1;1;1;2;2
27;2;3;2;NA;1;Podnikatel ;0;0;0;0;0;0;0;0;0;1;0;0;0
24;2;3;1;Environmentálne a európske štúdia ;1;Neformálne vzdelávanie ;1;1;1;1;1;1;1;0;0;0;0;0;1
41;2;6;1;Intermediální a digitální tvorba;2;NA;3;1;0;0;1;1;3;0;2;2;3;3;3
35;5;NA;NA;NA;NA;NA;0;1;2;2;1;1;0;2;1;2;0;1;3
29;2;3;2;NA;1;hudba;2;1;1;1;3;2;3;0;0;0;0;0;0
25;2;6;1;Genderová studia;1;Enviro neziskovka;2;1;1;1;1;2;3;1;1;1;1;2;2
27;1;6;2;NA;1;IT;1;0;0;0;0;1;0;1;1;0;1;1;1
37;2;6;2;NA;2;NA;0;0;0;1;0;0;0;0;0;1;0;0;0
35;2;6;2;NA;1;neziskový sektor, environmentální a občanské vzdělávání, facilitace;2;0;0;0;0;0;0;0;0;0;0;2;2
34;2;6;2;NA;2;NA;2;0;1;3;0;1;0;0;1;1;0;1;2
21;2;3;1;sociální práce;1;PR, neziskovky, akademický časopis;2;1;1;1;2;3;3;0;0;1;1;1;3
29;1;6;2;NA;1;eko nezisk a univerzita;1;0;0;1;2;1;1;0;0;0;1;1;2
19;3;3;1;Mezinárodní rozvojová a environmentální studia;1;Potravinářský ;2;2;2;2;3;3;2;1;1;0;1;2;3
17;1;1;1;Kombinované lyceum;2;NA;2;0;1;1;3;0;0;1;0;0;1;2;3
28;2;5;2;NA;2;NA;0;0;0;1;2;1;3;3;0;0;1;1;0
39;2;6;2;NA;2;NA;0;0;0;1;0;0;0;1;0;0;0;0;0
33;2;6;2;NA;1;v nezisku;2;1;1;2;2;3;3;1;0;1;1;2;1
19;2;3;2;NA;1;gastro;1;3;1;1;3;2;1;1;2;2;3;2;3
36;2;6;2;NA;1;PR, školství;1;0;1;1;0;0;0;1;0;1;2;2;2
22;1;3;1;Ekologie a ochrana ŽP;2;NA;2;3;0;2;2;1;3;1;1;2;1;1;0
67;2;6;2;NA;1;školství;2;1;1;1;1;0;2;0;0;0;1;1;2
57;1;6;2;NA;1;učitel na gymnáziu;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1;6;2;NA;1;NGO;0;0;0;0;0;0;0;0;0;0;0;0;0
22;2;3;2;NA;2;NA;3;3;3;3;3;3;3;3;3;0;1;1;1
29;3;5;2;NA;1;IT;2;1;3;3;3;1;1;1;2;1;2;2;3
32;5;5;2;NA;1;neziskový sektor;0;0;1;2;0;1;0;0;0;0;2;2;1
24;5;5;1;Environmentalni studia;1;Env. vzdelavani, do velmi nedacna socialni prace;1;0;1;0;1;1;1;0;1;0;0;0;0
29;2;6;1;Patfyz / molekularu;1;akademie;1;1;1;1;1;1;1;0;0;1;1;1;1
